words
algeria
angola
benin
botswana
burkina faso
burundi
cabo verde
cameroon
central african republic
chad
comoros
congo, democratic republic of the
congo, republic of the
djibouti
egypt
equatorial guinea
eritrea
eswatini
ethiopia
gabon
gambia
ghana
guinea
guinea-bissau
ivory coast
kenya
lesotho
liberia
libya
madagascar
malawi
mali
mauritania
mauritius
morocco
mozambique
namibia
niger
nigeria
rwanda
sao tome and principe
senegal
seychelles
sierra leone
somalia
south africa
south sudan
sudan
tanzania
togo
tunisia
uganda
zambia
zimbabwe
